temperatura,humidade,data,rega_necessaria_min
19.7,30.5,2025-05-13 23:51:00,3
30.1,20.6,2025-05-13 05:39:00,8
18.1,30.5,2025-05-13 02:24:00,3
31.8,62.4,2025-05-13 17:01:00,0
32.2,35.4,2025-05-13 08:35:00,8
32.9,62.2,2025-05-13 20:47:00,0
31.2,56.9,2025-05-13 06:02:00,5
25.4,37.2,2025-05-13 11:58:00,6
37.5,45.6,2025-05-13 13:29:00,15
30.6,71.7,2025-05-13 21:07:00,0
31.4,76.2,2025-05-13 00:27:00,0
29.4,70.0,2025-05-13 15:18:00,0
36.8,82.0,2025-05-13 16:43:00,7
25.4,21.0,2025-05-13 20:05:00,6
26.6,82.8,2025-05-13 23:28:00,0
35.1,39.1,2025-05-13 02:59:00,18
35.0,40.6,2025-05-13 20:31:00,15
25.9,74.9,2025-05-13 17:24:00,0
19.4,33.6,2025-05-13 02:39:00,3
25.2,36.5,2025-05-13 14:21:00,6
24.5,75.2,2025-05-14 09:01:00,0
32.2,55.9,2025-05-14 08:42:00,5
26.4,36.7,2025-05-14 09:54:00,6
19.6,20.3,2025-05-14 23:12:00,3
21.9,24.6,2025-05-14 03:44:00,3
19.0,77.6,2025-05-14 13:15:00,0
29.6,48.5,2025-05-14 14:27:00,3
27.3,55.3,2025-05-14 21:50:00,3
35.2,36.3,2025-05-14 21:57:00,18
24.1,54.9,2025-05-14 09:05:00,0
34.6,37.7,2025-05-14 04:32:00,8
27.1,74.7,2025-05-14 11:04:00,0
28.8,61.4,2025-05-14 19:29:00,0
37.5,53.6,2025-05-14 19:15:00,15
26.0,48.2,2025-05-14 18:16:00,3
18.5,82.6,2025-05-14 22:25:00,0
31.8,23.8,2025-05-14 22:08:00,8
23.0,55.7,2025-05-14 00:46:00,0
31.2,38.2,2025-05-14 15:24:00,8
31.1,48.3,2025-05-14 15:38:00,5
23.0,43.1,2025-05-15 22:02:00,0
18.3,27.5,2025-05-15 04:21:00,3
18.8,75.6,2025-05-15 04:46:00,0
27.5,26.4,2025-05-15 19:04:00,6
27.5,31.3,2025-05-15 15:20:00,6
19.0,81.7,2025-05-15 04:22:00,0
23.2,21.0,2025-05-15 03:33:00,3
28.0,55.1,2025-05-15 18:57:00,3
30.3,81.4,2025-05-15 12:03:00,0
35.3,61.4,2025-05-15 01:48:00,9
31.5,57.3,2025-05-15 19:23:00,5
34.2,73.3,2025-05-15 00:32:00,0
34.4,62.3,2025-05-15 11:02:00,0
23.5,33.9,2025-05-15 10:43:00,3
18.8,60.2,2025-05-15 13:01:00,0
31.1,45.1,2025-05-15 22:16:00,5
24.8,36.9,2025-05-15 09:25:00,3
31.9,42.6,2025-05-15 06:03:00,5
18.8,47.2,2025-05-15 10:28:00,0
26.5,57.0,2025-05-15 03:09:00,3
32.6,28.3,2025-05-16 02:48:00,8
29.6,76.4,2025-05-16 16:38:00,0
26.6,68.8,2025-05-16 04:11:00,0
25.6,54.7,2025-05-16 02:40:00,3
25.8,39.3,2025-05-16 19:47:00,6
19.1,82.3,2025-05-16 18:48:00,0
25.1,82.2,2025-05-16 18:11:00,0
27.9,25.4,2025-05-16 19:18:00,6
30.0,56.0,2025-05-16 04:34:00,5
36.9,70.8,2025-05-16 20:35:00,9
36.6,83.3,2025-05-16 06:44:00,7
19.1,67.9,2025-05-16 13:30:00,0
20.3,29.3,2025-05-16 10:10:00,3
30.4,26.6,2025-05-16 09:57:00,8
32.0,24.7,2025-05-16 06:45:00,8
