temperatura,humidade,data,rega_necessaria_min
48.7,41.1,2025-05-13 00:00:00.600017,48
42.3,94.1,2025-05-13 00:03:00.400001,40
43.2,16.0,2025-05-13 00:08:00.800041,53
32.5,20.7,2025-05-13 00:14:00.600078,8
0.3,14.6,2025-05-13 00:23:00.860001,3
45.8,90.9,2025-05-13 00:29:00.600065,40
11.3,58.7,2025-05-13 00:31:00.800038,0
47.8,54.2,2025-05-13 00:33:00.500018,48
19.7,53.0,2025-05-13 00:35:00.100096,0
39.5,52.5,2025-05-13 00:36:00.800032,15
39.2,48.4,2025-05-13 00:39:00.000045,15
12.6,39.1,2025-05-13 00:47:00.500029,1
3.9,54.3,2025-05-13 01:16:00.390006,0
7.4,82.2,2025-05-13 01:20:00.660004,0
21.0,78.1,2025-05-13 01:28:00.900099,0
47.7,85.6,2025-05-13 01:32:00.700075,40
47.6,60.5,2025-05-13 01:36:00.000073,42
8.3,93.3,2025-05-13 01:41:00.410005,0
43.4,86.9,2025-05-13 01:43:00.600056,40
34.7,65.6,2025-05-13 01:46:00.600013,0
0.7,76.6,2025-05-13 01:47:00.330004,0
4.6,33.1,2025-05-13 01:48:00.840006,1
27.6,50.2,2025-05-13 01:59:00.600032,3
0.8,83.3,2025-05-13 02:11:00.680007,0
43.9,70.7,2025-05-13 02:15:00.500074,42
27.1,95.5,2025-05-13 02:24:00.200095,0
6.0,75.7,2025-05-13 02:29:00.080003,0
6.4,44.0,2025-05-13 02:49:00.010004,0
29.3,75.6,2025-05-13 03:30:00.800066,0
0.2,33.2,2025-05-13 04:11:00.130003,1
26.9,57.4,2025-05-13 04:19:00.400077,3
31.9,37.0,2025-05-13 04:23:00.600032,8
27.0,26.9,2025-05-13 04:25:00.300018,6
9.3,61.3,2025-05-13 04:46:00.390001,0
34.3,20.7,2025-05-13 04:50:00.400078,8
6.1,60.3,2025-05-13 04:51:00.630009,0
13.5,44.9,2025-05-13 04:53:00.300067,0
20.0,25.9,2025-05-13 04:55:00.300066,3
0.1,85.9,2025-05-13 05:03:00.280007,0
35.8,71.5,2025-05-13 05:04:00.800012,9
27.3,72.4,2025-05-13 05:11:00.300077,0
46.8,69.2,2025-05-13 05:16:00.600091,42
13.3,60.8,2025-05-13 05:18:00.400062,0
22.1,59.5,2025-05-13 05:21:00.500093,0
25.9,86.4,2025-05-13 05:30:00.000012,0
32.6,26.8,2025-05-13 05:33:00.500035,8
3.2,47.8,2025-05-13 05:35:00.160007,0
0.8,38.3,2025-05-13 05:46:00.260009,1
18.4,43.4,2025-05-13 05:49:00.900087,0
49.0,37.0,2025-05-13 06:00:00.900070,51
13.3,21.5,2025-05-13 06:07:00.000069,1
25.6,23.7,2025-05-13 06:13:00.300017,6
30.8,23.8,2025-05-13 06:21:00.300075,8
28.8,83.5,2025-05-13 06:28:00.000088,0
2.1,47.4,2025-05-13 06:56:00.700000,0
23.1,80.4,2025-05-13 07:19:00.200056,0
23.4,60.5,2025-05-13 07:30:00.200016,0
39.6,59.8,2025-05-13 07:37:00.400049,15
17.9,17.6,2025-05-13 08:03:00.800093,5
36.5,87.5,2025-05-13 08:07:00.500043,7
48.5,92.5,2025-05-13 08:20:00.100040,40
39.9,67.3,2025-05-13 08:30:00.100060,9
39.1,48.5,2025-05-13 08:38:00.000031,15
29.7,41.0,2025-05-13 08:52:00.800023,3
16.3,77.3,2025-05-13 08:53:00.100051,0
22.7,28.9,2025-05-13 09:02:00.800058,3
10.1,86.5,2025-05-13 09:03:00.200059,0
33.9,58.6,2025-05-13 09:23:00.700027,5
20.0,48.3,2025-05-13 09:27:00.200078,0
2.9,50.5,2025-05-13 09:28:00.280004,0
39.8,44.5,2025-05-13 09:36:00.600009,15
19.2,11.4,2025-05-13 09:37:00.900016,5
22.9,12.3,2025-05-13 09:42:00.500041,5
28.5,55.1,2025-05-13 09:46:00.600001,3
42.0,61.8,2025-05-13 09:50:00.100047,42
16.2,55.9,2025-05-13 09:52:00.600055,0
35.0,18.4,2025-05-13 10:21:00.000066,10
31.1,91.6,2025-05-13 10:23:00.900044,0
15.0,65.8,2025-05-13 10:24:00.800068,0
41.1,55.6,2025-05-13 10:37:00.500069,48
35.9,37.7,2025-05-13 10:47:00.900099,18
15.3,69.4,2025-05-13 10:55:00.900039,0
35.3,93.4,2025-05-13 11:08:00.700092,7
11.2,51.7,2025-05-13 11:13:00.200078,0
12.5,17.1,2025-05-13 11:23:00.700047,3
20.2,43.3,2025-05-13 11:44:00.400042,0
13.5,36.4,2025-05-13 11:53:00.800096,1
18.0,98.0,2025-05-13 11:58:00.800064,0
39.1,16.4,2025-05-13 12:13:00.300098,20
43.6,66.4,2025-05-13 12:15:00.100027,42
44.5,40.4,2025-05-13 12:22:00.300036,48
23.2,89.8,2025-05-13 12:41:00.400081,0
13.6,91.5,2025-05-13 12:44:00.700020,0
41.4,97.3,2025-05-13 12:45:00.900047,40
16.2,31.0,2025-05-13 13:02:00.100085,3
16.5,95.0,2025-05-13 13:09:00.100068,0
16.7,60.3,2025-05-13 13:14:00.600083,0
20.2,45.3,2025-05-13 13:15:00.200059,0
9.7,57.8,2025-05-13 13:19:00.710006,0
42.5,14.4,2025-05-13 14:10:00.900063,53
44.5,69.2,2025-05-13 14:16:00.600046,42
30.8,65.7,2025-05-13 15:32:00.500057,0
14.8,46.9,2025-05-13 15:52:00.500006,0
40.0,37.3,2025-05-13 15:58:00.500020,18
23.5,11.7,2025-05-13 16:00:00.400070,5
36.7,47.2,2025-05-13 16:10:00.100060,15
26.3,20.2,2025-05-13 16:33:00.200088,6
49.6,36.9,2025-05-13 17:06:00.300039,51
31.7,61.7,2025-05-13 17:36:00.800099,0
39.3,36.2,2025-05-13 17:48:00.800032,18
37.8,44.0,2025-05-13 17:51:00.500001,15
20.6,69.9,2025-05-13 17:56:00.100005,0
39.2,69.4,2025-05-13 17:58:00.800001,9
45.0,35.4,2025-05-13 18:04:00.400074,51
45.0,21.6,2025-05-13 18:07:00.800052,51
33.0,58.7,2025-05-13 18:10:00.500099,5
24.7,37.7,2025-05-13 18:31:00.400062,3
25.2,24.4,2025-05-13 18:32:00.400082,6
18.5,18.8,2025-05-13 18:41:00.700003,5
28.6,18.5,2025-05-13 18:43:00.100052,8
8.0,17.6,2025-05-13 19:07:00.820002,3
19.1,84.9,2025-05-13 19:15:00.600048,0
45.3,16.4,2025-05-13 19:16:00.700084,53
31.7,70.9,2025-05-13 19:35:00.100048,0
26.7,69.4,2025-05-13 19:40:00.100087,0
11.7,53.6,2025-05-13 19:43:00.600052,0
19.5,18.0,2025-05-13 19:50:00.100030,5
31.3,54.1,2025-05-13 19:59:00.400051,5
13.8,52.2,2025-05-13 20:08:00.500015,0
38.8,81.3,2025-05-13 20:17:00.400090,7
32.5,51.6,2025-05-13 20:47:00.400075,5
28.8,44.3,2025-05-13 20:54:00.200062,3
6.3,44.3,2025-05-13 21:17:00.530007,0
26.5,63.3,2025-05-13 21:50:00.400058,0
46.8,79.2,2025-05-13 21:58:00.500035,42
7.6,25.5,2025-05-13 22:10:00.770007,1
5.0,75.7,2025-05-13 22:27:00.740000,0
35.3,97.8,2025-05-13 22:35:00.700080,7
26.1,83.6,2025-05-13 22:40:00.600036,0
28.8,87.8,2025-05-13 22:49:00.600083,0
36.1,67.2,2025-05-13 22:53:00.700045,9
28.3,74.3,2025-05-13 23:03:00.200094,0
21.0,18.6,2025-05-13 23:13:00.900014,5
2.0,52.6,2025-05-13 23:22:00.430004,0
30.0,17.0,2025-05-13 23:28:00.200074,8
14.3,38.7,2025-05-13 23:33:00.500087,1
28.1,34.8,2025-05-13 23:38:00.300007,6
4.8,24.7,2025-05-14 00:01:00.720005,1
8.7,85.0,2025-05-14 00:18:00.940002,0
14.2,73.6,2025-05-14 00:30:00.900096,0
28.4,97.0,2025-05-14 00:32:00.300075,0
13.6,24.1,2025-05-14 00:42:00.100057,1
2.6,31.4,2025-05-14 00:48:00.810003,1
34.2,17.6,2025-05-14 00:54:00.200003,10
12.2,86.1,2025-05-14 00:56:00.900088,0
29.1,16.2,2025-05-14 01:09:00.600060,8
2.4,15.4,2025-05-14 01:12:00.070004,3
47.1,85.6,2025-05-14 01:23:00.300079,40
42.2,92.3,2025-05-14 01:43:00.700040,40
