temperatura,humidade,data,rega_necessaria_min
20.0,36.9,2025-05-13 15:57:53.383694,30
20.0,40.2,2025-05-13 16:57:53.383694,29
20.3,53.7,2025-05-13 17:57:53.383694,16
29.8,44.6,2025-05-13 18:57:53.383694,29
20.0,73.2,2025-05-13 19:57:53.383694,10
24.3,56.0,2025-05-13 20:57:53.383694,14
21.5,35.8,2025-05-13 21:57:53.383694,30
22.0,35.7,2025-05-13 22:57:53.383694,30
22.5,61.6,2025-05-13 23:57:53.383694,10
21.1,49.6,2025-05-14 00:57:53.383694,20
29.5,36.4,2025-05-14 01:57:53.383694,30
26.8,58.2,2025-05-14 02:57:53.383694,12
24.8,52.5,2025-05-14 03:57:53.383694,17
18.1,68.2,2025-05-14 04:57:53.383694,10
27.2,54.7,2025-05-14 05:57:53.383694,17
28.6,66.3,2025-05-14 06:57:53.383694,13
19.4,50.7,2025-05-14 07:57:53.383694,19
18.4,49.4,2025-05-14 08:57:53.383694,20
29.3,53.4,2025-05-14 09:57:53.383694,20
23.9,51.6,2025-05-14 10:57:53.383694,18
23.6,63.8,2025-05-14 11:57:53.383694,10
22.9,73.5,2025-05-14 12:57:53.383694,10
19.9,59.0,2025-05-14 13:57:53.383694,11
18.7,45.9,2025-05-14 14:57:53.383694,24
29.1,72.1,2025-05-14 15:57:53.383694,14
23.5,48.3,2025-05-14 16:57:53.383694,21
19.4,38.6,2025-05-14 17:57:53.383694,30
26.5,46.9,2025-05-14 18:57:53.383694,24
25.9,56.3,2025-05-14 19:57:53.383694,13
29.8,51.3,2025-05-14 20:57:53.383694,22
21.8,71.1,2025-05-14 21:57:53.383694,10
26.2,73.8,2025-05-14 22:57:53.383694,11
19.7,46.0,2025-05-14 23:57:53.383694,24
26.3,73.3,2025-05-15 00:57:53.383694,11
19.4,50.4,2025-05-15 01:57:53.383694,19
20.7,38.0,2025-05-15 02:57:53.383694,30
23.2,44.7,2025-05-15 03:57:53.383694,25
22.9,56.4,2025-05-15 04:57:53.383694,13
24.0,43.8,2025-05-15 05:57:53.383694,26
27.4,48.2,2025-05-15 06:57:53.383694,23
23.7,69.2,2025-05-15 07:57:53.383694,10
23.8,67.6,2025-05-15 08:57:53.383694,10
24.9,68.7,2025-05-15 09:57:53.383694,10
29.3,54.3,2025-05-15 10:57:53.383694,19
22.9,53.1,2025-05-15 11:57:53.383694,16
20.3,50.9,2025-05-15 12:57:53.383694,19
20.0,43.5,2025-05-15 13:57:53.383694,26
18.2,41.5,2025-05-15 14:57:53.383694,28
19.1,55.3,2025-05-15 15:57:53.383694,14
22.5,55.5,2025-05-15 16:57:53.383694,14
18.2,56.8,2025-05-15 17:57:53.383694,13
27.5,59.4,2025-05-15 18:57:53.383694,12
25.5,55.1,2025-05-15 19:57:53.383694,14
21.2,57.9,2025-05-15 20:57:53.383694,12
28.7,75.0,2025-05-15 21:57:53.383694,13
24.8,41.6,2025-05-15 22:57:53.383694,28
21.8,55.7,2025-05-15 23:57:53.383694,14
18.4,43.7,2025-05-16 00:57:53.383694,26
23.4,55.7,2025-05-16 01:57:53.383694,14
26.0,38.3,2025-05-16 02:57:53.383694,30
20.8,70.6,2025-05-16 03:57:53.383694,10
22.2,41.2,2025-05-16 04:57:53.383694,28
19.7,65.1,2025-05-16 05:57:53.383694,10
20.5,65.5,2025-05-16 06:57:53.383694,10
18.1,56.2,2025-05-16 07:57:53.383694,13
26.5,67.0,2025-05-16 08:57:53.383694,11
19.4,54.9,2025-05-16 09:57:53.383694,15
26.3,66.9,2025-05-16 10:57:53.383694,11
24.6,71.7,2025-05-16 11:57:53.383694,10
23.4,64.7,2025-05-16 12:57:53.383694,10
26.6,58.0,2025-05-16 13:57:53.383694,13
19.8,55.4,2025-05-16 14:57:53.383694,14
18.0,64.7,2025-05-16 15:57:53.383694,10
27.1,48.9,2025-05-16 16:57:53.383694,23
29.7,37.9,2025-05-16 17:57:53.383694,30
19.9,64.3,2025-05-16 18:57:53.383694,10
18.9,70.2,2025-05-16 19:57:53.383694,10
24.8,69.2,2025-05-16 20:57:53.383694,10
18.5,56.7,2025-05-16 21:57:53.383694,13
24.1,71.7,2025-05-16 22:57:53.383694,10
25.7,63.4,2025-05-16 23:57:53.383694,10
29.6,62.7,2025-05-17 00:57:53.383694,14
28.0,40.8,2025-05-17 01:57:53.383694,30
26.7,43.0,2025-05-17 02:57:53.383694,28
27.6,43.0,2025-05-17 03:57:53.383694,29
29.5,37.4,2025-05-17 04:57:53.383694,30
24.9,60.8,2025-05-17 05:57:53.383694,10
22.0,56.8,2025-05-17 06:57:53.383694,13
22.4,72.3,2025-05-17 07:57:53.383694,10
21.2,60.9,2025-05-17 08:57:53.383694,10
18.6,64.3,2025-05-17 09:57:53.383694,10
22.6,54.8,2025-05-17 10:57:53.383694,15
20.1,53.8,2025-05-17 11:57:53.383694,16
29.4,55.2,2025-05-17 12:57:53.383694,18
23.5,47.0,2025-05-17 13:57:53.383694,23
18.8,45.4,2025-05-17 14:57:53.383694,24
25.8,53.0,2025-05-17 15:57:53.383694,17
20.9,64.4,2025-05-17 16:57:53.383694,10
20.2,71.7,2025-05-17 17:57:53.383694,10
18.9,58.3,2025-05-17 18:57:53.383694,11
19.8,50.1,2025-05-17 19:57:53.383694,19
18.9,41.2,2025-05-17 20:57:53.383694,28
26.9,63.5,2025-05-17 21:57:53.383694,11
18.8,52.0,2025-05-17 22:57:53.383694,18
27.0,69.3,2025-05-17 23:57:53.383694,12
28.2,52.8,2025-05-18 00:57:53.383694,20
28.6,38.9,2025-05-18 01:57:53.383694,30
18.3,41.8,2025-05-18 02:57:53.383694,28
26.2,59.6,2025-05-18 03:57:53.383694,11
24.2,44.6,2025-05-18 04:57:53.383694,25
21.8,42.9,2025-05-18 05:57:53.383694,27
25.8,44.0,2025-05-18 06:57:53.383694,26
19.8,47.9,2025-05-18 07:57:53.383694,22
21.6,47.2,2025-05-18 08:57:53.383694,22
25.0,45.5,2025-05-18 09:57:53.383694,24
26.8,54.6,2025-05-18 10:57:53.383694,16
21.2,52.8,2025-05-18 11:57:53.383694,17
19.4,37.7,2025-05-18 12:57:53.383694,30
24.5,63.1,2025-05-18 13:57:53.383694,10
24.9,41.3,2025-05-18 14:57:53.383694,28
19.6,61.6,2025-05-13 15:57:53.383694,0
22.4,70.9,2025-05-13 16:57:53.383694,0
23.6,72.9,2025-05-13 17:57:53.383694,0
18.2,73.5,2025-05-13 18:57:53.383694,0
19.9,70.0,2025-05-13 19:57:53.383694,0
23.5,62.7,2025-05-13 20:57:53.383694,0
18.7,73.0,2025-05-13 21:57:53.383694,0
21.7,72.1,2025-05-13 22:57:53.383694,0
19.6,68.7,2025-05-13 23:57:53.383694,0
20.0,69.8,2025-05-14 00:57:53.383694,0
23.9,63.2,2025-05-14 01:57:53.383694,0
24.7,60.4,2025-05-14 02:57:53.383694,0
19.3,64.9,2025-05-14 03:57:53.383694,0
24.8,67.1,2025-05-14 04:57:53.383694,0
21.8,70.8,2025-05-14 05:57:53.383694,0
20.4,68.7,2025-05-14 06:57:53.383694,0
22.6,63.0,2025-05-14 07:57:53.383694,0
24.1,70.6,2025-05-14 08:57:53.383694,0
19.9,68.3,2025-05-14 09:57:53.383694,0
23.6,66.8,2025-05-14 10:57:53.383694,0
18.2,60.9,2025-05-14 11:57:53.383694,0
22.3,72.6,2025-05-14 12:57:53.383694,0
21.2,65.9,2025-05-14 13:57:53.383694,0
24.5,62.7,2025-05-14 14:57:53.383694,0
21.8,74.8,2025-05-14 15:57:53.383694,0
20.4,74.1,2025-05-14 16:57:53.383694,0
20.4,63.3,2025-05-14 17:57:53.383694,0
19.4,64.9,2025-05-14 18:57:53.383694,0
23.4,67.2,2025-05-14 19:57:53.383694,0
18.6,61.5,2025-05-14 20:57:53.383694,0
20.7,70.6,2025-05-14 21:57:53.383694,0
20.6,67.5,2025-05-14 22:57:53.383694,0
20.3,68.4,2025-05-14 23:57:53.383694,0
20.5,63.4,2025-05-15 00:57:53.383694,0
24.6,62.3,2025-05-15 01:57:53.383694,0
20.1,71.3,2025-05-15 02:57:53.383694,0
19.8,69.7,2025-05-15 03:57:53.383694,0
18.8,72.9,2025-05-15 04:57:53.383694,0
18.1,64.7,2025-05-15 05:57:53.383694,0
19.3,68.6,2025-05-15 06:57:53.383694,0
19.7,72.6,2025-05-15 07:57:53.383694,0
20.3,61.7,2025-05-15 08:57:53.383694,0
21.0,70.8,2025-05-15 09:57:53.383694,0
22.5,71.1,2025-05-15 10:57:53.383694,0
20.6,69.8,2025-05-15 11:57:53.383694,0
21.4,66.4,2025-05-15 12:57:53.383694,0
18.9,67.6,2025-05-15 13:57:53.383694,0
21.9,61.0,2025-05-15 14:57:53.383694,0
19.2,72.8,2025-05-15 15:57:53.383694,0
21.1,65.5,2025-05-15 16:57:53.383694,0
23.4,66.7,2025-05-15 17:57:53.383694,0
19.7,72.6,2025-05-15 18:57:53.383694,0
20.9,61.7,2025-05-15 19:57:53.383694,0
23.6,66.6,2025-05-15 20:57:53.383694,0
19.3,65.3,2025-05-15 21:57:53.383694,0
18.5,70.1,2025-05-15 22:57:53.383694,0
22.5,60.2,2025-05-15 23:57:53.383694,0
19.3,68.4,2025-05-16 00:57:53.383694,0
19.2,74.8,2025-05-16 01:57:53.383694,0
24.8,74.4,2025-05-16 02:57:53.383694,0
22.4,64.2,2025-05-16 03:57:53.383694,0
23.3,61.3,2025-05-16 04:57:53.383694,0
24.9,75.0,2025-05-16 05:57:53.383694,0
21.9,61.1,2025-05-16 06:57:53.383694,0
18.9,64.7,2025-05-16 07:57:53.383694,0
19.5,74.9,2025-05-16 08:57:53.383694,0
18.4,74.9,2025-05-16 09:57:53.383694,0
24.5,63.7,2025-05-16 10:57:53.383694,0
23.2,74.6,2025-05-16 11:57:53.383694,0
20.6,69.1,2025-05-16 12:57:53.383694,0
22.6,65.6,2025-05-16 13:57:53.383694,0
23.0,67.3,2025-05-16 14:57:53.383694,0
23.8,74.2,2025-05-16 15:57:53.383694,0
18.5,68.5,2025-05-16 16:57:53.383694,0
19.4,64.4,2025-05-16 17:57:53.383694,0
23.7,72.0,2025-05-16 18:57:53.383694,0
18.2,64.0,2025-05-16 19:57:53.383694,0
19.9,63.8,2025-05-16 20:57:53.383694,0
24.3,61.4,2025-05-16 21:57:53.383694,0
21.9,70.5,2025-05-16 22:57:53.383694,0
20.1,69.5,2025-05-16 23:57:53.383694,0
22.8,69.7,2025-05-17 00:57:53.383694,0
25.0,60.1,2025-05-17 01:57:53.383694,0
20.3,66.8,2025-05-17 02:57:53.383694,0
18.9,63.9,2025-05-17 03:57:53.383694,0
23.9,74.7,2025-05-17 04:57:53.383694,0
22.6,65.1,2025-05-17 05:57:53.383694,0
23.2,62.4,2025-05-17 06:57:53.383694,0
19.1,64.3,2025-05-17 07:57:53.383694,0
21.9,67.9,2025-05-17 08:57:53.383694,0
20.0,63.7,2025-05-17 09:57:53.383694,0
19.3,72.1,2025-05-17 10:57:53.383694,0
18.1,74.7,2025-05-17 11:57:53.383694,0
23.5,67.7,2025-05-17 12:57:53.383694,0
19.2,65.7,2025-05-17 13:57:53.383694,0
24.3,63.1,2025-05-17 14:57:53.383694,0
24.1,67.1,2025-05-17 15:57:53.383694,0
21.2,62.2,2025-05-17 16:57:53.383694,0
21.0,71.3,2025-05-17 17:57:53.383694,0
21.1,74.4,2025-05-17 18:57:53.383694,0
20.7,72.9,2025-05-17 19:57:53.383694,0
21.3,62.1,2025-05-17 20:57:53.383694,0
24.9,64.4,2025-05-17 21:57:53.383694,0
24.3,60.8,2025-05-17 22:57:53.383694,0
18.3,65.0,2025-05-17 23:57:53.383694,0
23.1,62.9,2025-05-18 00:57:53.383694,0
18.3,73.9,2025-05-18 01:57:53.383694,0
19.8,72.9,2025-05-18 02:57:53.383694,0
22.7,66.9,2025-05-18 03:57:53.383694,0
18.8,72.8,2025-05-18 04:57:53.383694,0
22.0,73.7,2025-05-18 05:57:53.383694,0
22.4,68.9,2025-05-18 06:57:53.383694,0
19.0,68.5,2025-05-18 07:57:53.383694,0
22.7,70.7,2025-05-18 08:57:53.383694,0
22.2,74.5,2025-05-18 09:57:53.383694,0
24.7,66.6,2025-05-18 10:57:53.383694,0
19.6,74.9,2025-05-18 11:57:53.383694,0
21.2,65.3,2025-05-18 12:57:53.383694,0
18.3,61.5,2025-05-18 13:57:53.383694,0
18.8,72.6,2025-05-18 14:57:53.383694,0
