temperatura,humidade,data,rega_necessaria_min
19.6,61.6,2025-05-13 16:32:57.383694,0
22.4,70.9,2025-05-13 16:37:57.383694,0
23.6,72.9,2025-05-13 16:37:59.383694,0
18.2,73.5,2025-05-13 16:42:59.383694,0
19.9,70.0,2025-05-13 16:43:01.383694,0
23.5,62.7,2025-05-13 16:48:01.383694,0
18.7,73.0,2025-05-13 16:53:01.383694,0
21.7,72.1,2025-05-13 16:58:01.383694,0
19.6,68.7,2025-05-13 17:03:01.383694,0
20.0,69.8,2025-05-14 02:38:01.383694,0
23.9,63.2,2025-05-14 02:43:01.383694,0
24.7,60.4,2025-05-14 02:43:03.383694,0
19.3,64.9,2025-05-14 02:48:03.383694,0
24.8,67.1,2025-05-14 02:53:03.383694,0
21.8,70.8,2025-05-14 02:58:03.383694,0
20.4,68.7,2025-05-14 02:58:05.383694,0
22.6,63.0,2025-05-14 03:03:05.383694,0
24.1,70.6,2025-05-14 03:03:07.383694,0
19.9,68.3,2025-05-14 03:08:07.383694,0
23.6,66.8,2025-05-14 03:13:07.383694,0
18.2,60.9,2025-05-14 03:18:07.383694,0
22.3,72.6,2025-05-14 03:23:07.383694,0
21.2,65.9,2025-05-14 03:23:09.383694,0
24.5,62.7,2025-05-14 03:28:09.383694,0
21.8,74.8,2025-05-14 03:33:09.383694,0
20.4,74.1,2025-05-14 03:33:11.383694,0
20.4,63.3,2025-05-14 03:38:11.383694,0
19.4,64.9,2025-05-14 03:38:13.383694,0
23.4,67.2,2025-05-14 03:43:13.383694,0
18.6,61.5,2025-05-14 03:48:13.383694,0
20.7,70.6,2025-05-14 03:53:13.383694,0
20.6,67.5,2025-05-14 03:53:15.383694,0
20.3,68.4,2025-05-14 03:53:17.383694,0
20.5,63.4,2025-05-15 02:28:05.383694,0
24.6,62.3,2025-05-15 02:33:05.383694,0
20.1,71.3,2025-05-15 02:38:05.383694,0
19.8,69.7,2025-05-15 02:38:07.383694,0
18.8,72.9,2025-05-15 02:38:09.383694,0
18.1,64.7,2025-05-15 02:38:11.383694,0
19.3,68.6,2025-05-15 02:38:13.383694,0
19.7,72.6,2025-05-15 02:38:15.383694,0
20.3,61.7,2025-05-15 02:43:15.383694,0
21.0,70.8,2025-05-15 02:43:17.383694,0
22.5,71.1,2025-05-15 02:43:19.383694,0
20.6,69.8,2025-05-15 02:43:21.383694,0
21.4,66.4,2025-05-15 02:43:23.383694,0
18.9,67.6,2025-05-15 02:48:23.383694,0
21.9,61.0,2025-05-15 02:53:23.383694,0
19.2,72.8,2025-05-15 02:58:23.383694,0
21.1,65.5,2025-05-15 02:58:25.383694,0
23.4,66.7,2025-05-15 03:03:25.383694,0
19.7,72.6,2025-05-15 03:08:25.383694,0
20.9,61.7,2025-05-15 03:13:25.383694,0
23.6,66.6,2025-05-15 03:18:25.383694,0
19.3,65.3,2025-05-15 03:23:25.383694,0
18.5,70.1,2025-05-15 03:23:27.383694,0
22.5,60.2,2025-05-15 03:28:27.383694,0
19.3,68.4,2025-05-16 02:28:05.383694,0
19.2,74.8,2025-05-16 02:28:07.383694,0
24.8,74.4,2025-05-16 02:33:07.383694,0
22.4,64.2,2025-05-16 02:38:07.383694,0
23.3,61.3,2025-05-16 02:38:09.383694,0
24.9,75.0,2025-05-16 02:43:09.383694,0
21.9,61.1,2025-05-16 02:48:09.383694,0
18.9,64.7,2025-05-16 02:53:09.383694,0
19.5,74.9,2025-05-16 02:58:09.383694,0
18.4,74.9,2025-05-16 02:58:11.383694,0
24.5,63.7,2025-05-16 03:03:11.383694,0
